host_response_rate,host_acceptance_rate,host_listings_count,city,state,zipcode,latitude,longitude,accommodates,bedrooms,bathrooms,beds,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews
N/A,N/A,3,Takoma Park,MD,20912,38.9839417,-77.01972979,2,1,1,1,$135.00,,,1,1125,0
100%,100%,1,Mount Rainier,MD,20712,38.94550838,-76.97051506,2,1,1,1,$100.00,,,1,1125,0
N/A,N/A,3,Takoma Park,MD,20912,38.9841984,-77.01999601,2,1,1,1,$225.00,,,1,1125,0
N/A,N/A,1,Takoma Park,MD,20912,38.98289926,-77.01764883,7,4,3,3,$129.00,$99.00,$99.00,14,1125,0
100%,100%,1,Washington,DC,20008,38.9287606,-77.04808778,1,1,1,1,$149.00,,,3,31,46
100%,100%,2,Washington,DC,20005,38.90901842,-77.03317774,4,1,1,2,$150.00,$100.00,$30.00,2,365,84
53%,69%,1,Washington,DC,20005,38.90683107,-77.02987558,4,1,1.5,1,$175.00,,$25.00,1,1125,25
100%,100%,1,Washington,DC,20001,38.91285513,-77.02218393,3,2,1,2,$239.00,,$50.00,5,1125,4
56%,83%,1,Washington,DC,20001,38.90602533,-77.02140581,4,1,1,2,$65.00,,,2,1125,2
52%,84%,1,Washington,DC,20001,38.90836544,-77.02282043,2,1,1,1,$71.00,,$12.00,2,14,83
97%,100%,3,Washington,DC,20001,38.90823242,-77.02509194,2,1,1,1,$80.00,,,1,1125,19
100%,100%,3,Washington,DC,20001,38.91046091,-77.01933068,4,1,2.5,3,$250.00,,,1,730,94
90%,100%,5,Washington,DC,20001,38.9123512,-77.0187326,2,1,1,1,$138.00,$250.00,$50.00,1,365,47
100%,93%,1,Washington,DC,20001,38.91042775,-77.02061907,2,1,1,1,$94.00,,,2,21,150
100%,50%,2,Washington,DC,20001,38.90797863,-77.01899723,5,2,2.5,2,$283.00,$500.00,$120.00,3,1125,15
100%,N/A,1,Washington,DC,20005,38.90575583,-77.02955147,3,1,1,3,$127.00,,,3,16,0
93%,96%,2,Washington,DC,20001,38.90851208,-77.02558253,6,1,1,3,$79.00,,,1,365,69
100%,100%,1,Washington,DC,20001,38.91358762,-77.02563638,3,1,1,1,$110.00,,,1,1125,1
100%,97%,3,Washington,DC,20001,38.91107388,-77.02320663,6,1,1,6,$38.00,,,1,1125,2
92%,94%,30,Washington,DC,20009,38.91285095,-77.03385691,9,3,2.5,5,$480.00,,$200.00,3,1125,5
80%,100%,1,Washington,DC,20005,38.90950939,-77.0326777,6,2,2,3,$372.00,,$80.00,3,1125,33
100%,100%,1,Washington,DC,20001,38.91035119,-77.02361655,3,1,1,2,$125.00,,$60.00,1,30,11
100%,79%,1,Washington,DC,20005,38.90760295,-77.02877664,2,1,1,1,$89.00,$200.00,$30.00,1,1125,3
40%,71%,2,Washington,DC,20001,38.90990321,-77.02164964,1,1,1,1,$80.00,,,1,1125,5
92%,94%,30,Washington,DC,20001,38.90633377,-77.02626349,5,0,1,3,$90.00,,$100.00,3,999,29
92%,100%,4,Washington,DC,20001,38.90712189,-77.0190373,3,0,1,2,$110.00,,$35.00,2,1125,32
88%,100%,1,Washington,DC,20001,38.91206899,-77.02654477,3,2,1,3,$100.00,,$40.00,3,1125,1
100%,100%,1,Washington,DC,20009,38.90988182,-77.03371969,4,2,2,2,$250.00,$250.00,$75.00,1,100,15
100%,100%,5,Washington,DC,20032,38.84693412,-76.99929432,1,1,1,1,$55.00,$150.00,$75.00,1,1125,0
100%,100%,5,Washington,DC,20032,38.84724289,-76.99915559,3,1,1,2,$55.00,$150.00,$75.00,1,1125,5
N/A,N/A,1,Washington,DC,20032,38.82805248,-77.01045127,2,1,1,1,$400.00,$200.00,,2,4,0
100%,100%,5,Washington,DC,20032,38.84824335,-76.99924952,1,1,1,1,$35.00,,$25.00,1,1125,0
N/A,N/A,1,Washington,DC,20032,38.82722274,-77.00919578,4,2,2,2,$160.00,$200.00,$30.00,2,8,5
100%,100%,2,Washington,DC,20032,38.82871929,-77.00783414,4,2,2.5,2,$130.00,$300.00,$60.00,2,1125,1
100%,100%,1,Washington,DC,20032,38.82636204,-76.99786671,1,1,1,1,$50.00,,,1,1125,0
50%,N/A,1,Washington,DC,20032,38.83454145,-77.00560653,2,1,1,1,$150.00,,,1,1125,0
80%,67%,1,Washington,DC,20032,38.84306384,-76.99158707,2,1,1.5,1,$40.00,,,1,1125,9
100%,100%,5,Washington,DC,20032,38.8468335,-76.99945653,2,1,1,1,$45.00,,,1,1125,0
100%,100%,2,Washington,DC,20032,38.82775661,-77.0083268,2,1,2.5,1,$55.00,$300.00,$25.00,2,1125,0
N/A,N/A,1,Washington,DC,20032,38.82506052,-76.9987406,2,1,1,1,$200.00,,,1,1125,1
100%,88%,2,Washington,DC,20020,38.85081344,-76.98011142,2,1,1,1,$65.00,,,1,1125,4
100%,100%,4,Washington,DC,20032,38.84081712,-76.97797504,4,1,1.5,1,$94.00,$95.00,$15.00,1,31,18
100%,88%,2,Washington,DC,20020,38.84872746,-76.97871483,1,1,1,1,$65.00,,,1,1125,2
100%,100%,4,Washington,DC,20032,38.8421504,-76.97633323,5,1,1.5,1,$64.00,$95.00,$15.00,1,90,115
100%,100%,1,Washington,DC,20020,38.84981227,-76.98289296,2,1,1,1,$59.00,,,1,1125,18
N/A,N/A,1,Washington,DC,20020,38.84921846,-76.97884192,1,1,,,$125.00,,,1,1125,0
100%,100%,4,Washington,DC,20032,38.8422292,-76.97641703,3,1,1.5,1,$74.00,$95.00,$15.00,1,90,33
100%,100%,2,Washington,DC,20020,38.85328293,-76.96826673,3,1,1,1,$69.00,,$10.00,1,1125,8
100%,100%,5,Washington,DC,20020,38.8576089,-76.97440904,1,1,1,1,$49.00,,$35.00,1,1125,1
N/A,N/A,1,Washington,DC,20020,38.85908304,-76.9694999,2,1,1,1,$60.00,$100.00,,1,365,0
100%,100%,2,Washington,DC,20020,38.85137656,-76.97083697,2,1,1,1,$69.00,,$10.00,1,1125,19
100%,100%,1,Washington,DC,20003,38.87721086,-77.00368744,4,1,1,2,$157.00,,$65.00,2,1125,3
100%,94%,1,Washington,DC,20003,38.87995989,-77.00649063,3,1,1,1,$128.00,,$40.00,1,1125,9
100%,100%,1,Washington,DC,20003,38.8770983,-77.00458358,2,1,1,1,$135.00,$150.00,$95.00,6,1125,6
80%,80%,1,Washington,DC,20003,38.87961619,-77.00434209,2,1,1,1,$90.00,,,2,1125,6
50%,80%,1,Washington,DC,20003,38.87834062,-77.00073849,2,1,1,1,$102.00,$100.00,$49.00,5,31,6
100%,100%,1,Washington,DC,20003,38.87837493,-77.00800168,3,1,1,1,$99.00,$100.00,$50.00,1,19,0
N/A,N/A,1,Washington,DC,20003,38.87653674,-77.00623635,2,1,1,1,$195.00,,,1,1125,1
100%,100%,1,Washington,DC,20003,38.88032417,-77.0019617,4,1,1,2,$160.00,$200.00,$50.00,1,1125,59
100%,89%,2,Washington,DC,20003,38.88008663,-77.00731287,2,1,1,1,$95.00,,$100.00,1,1125,1
33%,100%,1,Washington,DC,20003,38.87861844,-77.00598247,2,1,1,1,$120.00,,,1,1125,0
100%,63%,2,Washington,DC,20003,38.87584046,-76.99908601,6,2,2,3,$249.00,,$59.00,2,180,0
100%,100%,1,Washington,DC,20003,38.88045027,-77.00651487,2,1,1,1,$88.00,$200.00,$35.00,3,1125,1
100%,100%,1,Washington,DC,20003,38.87869082,-77.00537827,2,1,1,1,$90.00,$95.00,$10.00,1,1125,2
90%,100%,1,Washington,DC,20003,38.87744971,-77.00571269,2,,1,1,$150.00,,,1,1125,0
90%,93%,3,Washington,DC,20003,38.87491191,-77.00884499,2,1,1,1,$125.00,,,1,1125,0
90%,93%,1,Washington,DC,20003,38.87923329,-76.99764143,2,1,1,1,$85.00,,$20.00,3,14,145
N/A,N/A,1,Washington,DC,20003,38.88045961,-77.0080082,3,1,1,2,$400.00,,,1,1125,0
100%,100%,1,Washington,DC,20003,38.87407493,-77.0023063,2,1,1,1,$120.00,,,2,1125,8
100%,95%,3,Washington,DC,20019,38.8911998,-76.95067899,10,4,2,4,$215.00,$500.00,$125.00,2,1825,29
N/A,N/A,1,Washington,DC,20019,38.88746476,-76.95571354,2,1,0.5,1,$90.00,,,2,4,0
100%,87%,1,Washington,DC,20019,38.89138686,-76.94886141,2,1,1,1,$50.00,$95.00,,2,240,23
100%,100%,1,Washington,DC,20019,38.89209068,-76.95031429,5,1,1,2,$100.00,,$25.00,1,1125,12
33%,N/A,1,Washington,DC,20019,38.87302035,-76.93891775,4,2,2,2,$65.00,,,1,1125,0
92%,95%,2,Washington,DC,20019,38.89362812,-76.95924839,2,1,1,1,$55.00,,,2,30,4
100%,73%,1,Washington,DC,20019,38.88336419,-76.95062953,8,3,2.5,1,$129.00,$200.00,,1,5,58
92%,95%,2,Washington,DC,20019,38.89197311,-76.96042875,1,1,1,1,$45.00,,,1,1125,4
58%,51%,480,Washington,DC,20005,38.90105595,-77.03415786,5,2,2,2,$299.00,,,3,365,34
58%,51%,480,Washington,DC,20005,38.90095092,-77.03297298,5,2,2,2,$309.00,,,4,365,8
90%,N/A,2,Annapolis,MD,21403,38.89455911,-77.01421941,7,2,1,4,$375.00,,,1,1125,0
100%,95%,2,Washington,DC,20001,38.90125875,-77.01451525,4,2,2,3,$180.00,$250.00,$50.00,7,21,48
100%,100%,3,Washington,DC,20005,38.90553359,-77.03355048,4,1,1,1,$149.00,$95.00,$100.00,3,1125,32
92%,76%,206,Washington,DC,20268,38.90045936,-77.02641873,5,2,2,3,$337.00,,$100.00,3,1125,6
58%,51%,480,Washington,DC,20001,38.90107449,-77.01924635,4,2,2,2,$299.00,,,3,730,7
58%,51%,480,Washington,DC,20001,38.89371298,-77.01877537,3,1,1,1,$249.00,,,4,365,6
70%,100%,1,Washington,DC,20001,38.90010512,-77.01525407,3,0,1.5,1,$126.00,$500.00,$100.00,2,1125,5
100%,100%,1,Washington,DC,20005,38.901897,-77.02814153,2,1,1,1,$99.00,$100.00,,1,1125,1
58%,51%,480,Washington,DC,20001,38.90089161,-77.01954766,4,2,2,2,$299.00,,,3,365,2
58%,51%,480,Washington,DC,20001,38.90285281,-77.0189909,2,1,1,1,$199.00,,$200.00,7,1125,1
100%,100%,1,Washington,DC,20001,38.89580043,-77.01152205,3,1,1,3,$89.00,$95.00,$30.00,1,1125,1
N/A,N/A,1,Washington,DC,20001,38.89835142,-77.02201071,2,0,1,1,$165.00,$400.00,$75.00,1,1125,0
58%,51%,480,Washington,DC,20001,38.89423151,-77.01865832,4,2,2,2,$309.00,,,4,365,1
100%,N/A,1,Washington,DC,20001,38.89866949,-77.01474773,2,0,1,1,$115.00,,,1,1125,0
100%,100%,2,Washington,DC,20005,38.90285224,-77.02231745,4,1,1,2,$130.00,,$25.00,1,1125,85
50%,100%,1,Washington,DC,20001,38.90049015,-77.01566757,2,1,2,1,$95.00,,$10.00,1,1125,0
100%,93%,1,Washington,DC,20001,38.90154862,-77.01226564,1,1,1,1,$50.00,$95.00,$15.00,2,1125,6
87%,70%,190,Washington,DC,20001,38.89407341,-77.01946295,3,1,1,1,$569.00,,$100.00,3,1125,0
100%,N/A,1,Washington,DC,20001,38.89904091,-77.01668928,1,1,1,1,$55.00,,,20,21,0
100%,100%,3,Washington,DC,20001,38.90585558,-77.0122052,2,1,1.5,1,$49.00,$95.00,$12.00,1,1125,3
99%,89%,25,Washington,DC,20001,38.9051221,-77.02711971,4,2,1,2,$250.00,$500.00,$115.00,3,1125,4
58%,51%,480,Washington,DC,20001,38.91350858,-77.01883911,2,1,,1,$198.00,,$150.00,7,365,0
92%,76%,206,Washington,DC,20001,38.89388717,-77.01881191,5,2,2,3,$311.00,,$100.00,3,1125,3
100%,95%,1,Washington,DC,20001,38.89933372,-77.0164596,2,0,1,1,$95.00,,$25.00,2,29,35
100%,100%,1,Washington,DC,20001,38.90405978,-77.01706374,1,1,1,2,$59.00,$200.00,$30.00,1,1125,1
83%,100%,2,Washington,DC,20004,38.89538942,-77.02054559,2,1,1,1,$167.00,$575.00,$104.00,5,1125,31
100%,100%,2,Washington,DC,20001,38.90509797,-77.0167189,3,1,1,1,$165.00,$135.00,,1,1125,0
100%,100%,4,Washington,DC,20001,38.9056829,-77.01202827,3,1,1.5,1,$104.00,$200.00,,2,1125,11
97%,100%,3,Washington,DC,20005,38.90492917,-77.0263579,2,1,,1,$99.00,$500.00,,1,1125,169
43%,46%,17,Washington,DC,20001,38.89895269,-77.0149355,4,1,1,3,$159.00,,$120.00,1,1125,0
100%,100%,1,Washington,DC,20001,38.90388849,-77.01749486,2,0,1,1,$190.00,,,3,1125,13
92%,76%,206,Washington,DC,20005,38.90491061,-77.02989687,3,1,1,2,$246.00,,$100.00,3,1125,0
70%,100%,1,Washington,DC,20001,38.90531249,-77.02209897,3,1,1,2,$200.00,$200.00,$70.00,2,1125,14
75%,75%,1,Washington,DC,20005,38.90077204,-77.0246774,3,1,1,2,$215.00,,,1,1125,34
67%,100%,1,Washington,DC,20001,38.90120829,-77.01633753,4,2,2,2,$450.00,$450.00,,1,1125,0
87%,70%,190,Washington,DC,20005,38.90500013,-77.02923984,3,1,1,1,$234.00,,$100.00,3,1125,0
100%,100%,4,Washington,DC,20001,38.90416965,-77.01281494,2,1,1.5,1,$110.00,,$10.00,2,1125,33
90%,100%,1,Washington,DC,20001,38.90426222,-77.01009846,4,2,2,2,$225.00,$300.00,,3,30,0
58%,51%,480,Washington,DC,20001,38.89283202,-77.01899905,3,1,1,1,$249.00,,,4,365,4
71%,0%,1,Washington,DC,20005,38.90539031,-77.02932422,2,1,1,1,$109.00,$500.00,$45.00,1,1125,0
100%,100%,1,Washington,DC,20001,38.90157468,-77.01577666,4,2,2,2,$250.00,,$70.00,3,1125,1
N/A,N/A,1,Washington,DC,20001,38.90150258,-77.01459088,4,1,1,1,$135.00,,,2,1125,2
100%,89%,1,Washington,DC,20001,38.90415166,-77.01505902,3,1,2,2,$87.00,"$1,000.00",$40.00,2,30,2
83%,65%,5,Washington,DC,20001,38.8973664,-77.01793376,4,1,1,1,$210.00,$200.00,$60.00,1,90,103
96%,98%,2,Washington,DC,20001,38.90547366,-77.02053108,10,3,2,6,$300.00,$150.00,$150.00,3,1125,5
58%,51%,480,Washington,DC,20001,38.89304843,-77.0201591,2,0,1,1,$189.00,,,4,365,0
N/A,N/A,1,"Washington, D.C.",DC,20001,38.90481354,-77.02584423,2,1,1,1,$120.00,,,1,1125,0
60%,100%,1,Washington,DC,20001,38.90453668,-77.01622818,2,1,1,1,$200.00,,,1,1,1
100%,89%,2,Washington,DC,20005,38.89894803,-77.03279296,3,1,1,2,$269.00,,$100.00,1,1125,6
87%,70%,190,Washington,DC,20001,38.89324232,-77.02017568,3,1,1,1,$569.00,,$100.00,3,1125,0
70%,57%,2,Washington,DC,20001,38.90531783,-77.01514668,4,2,2,2,$120.00,$500.00,$100.00,1,1125,3
100%,95%,2,Washington,DC,20001,38.90157102,-77.01574978,1,1,1,1,$109.00,,,2,5,1
25%,100%,1,Washington,DC,20005,38.90540462,-77.03050802,3,1,1,1,$150.00,,$25.00,2,1125,4
92%,100%,4,Washington,DC,20001,38.90504369,-77.01880601,3,1,1,1,$95.00,,$35.00,2,1125,70
100%,100%,1,Washington,DC,20005,38.90482723,-77.02685647,4,1,1,2,$119.00,,,1,20,0
100%,100%,1,Washington,DC,20001,38.90158767,-77.01926965,2,1,1,1,$97.00,,$10.00,1,1125,2
100%,88%,1,Washington,DC,20001,38.90058574,-77.01418067,2,1,1,1,$99.00,,$10.00,1,4,51
65%,77%,1,Washington,DC,20001,38.90147432,-77.01641048,2,1,1,1,$295.00,,$65.00,1,1125,28
92%,93%,1,Washington,DC,20001,38.90071745,-77.01684978,2,1,1,1,$149.00,$150.00,,2,1125,9
100%,92%,1,Washington,DC,20001,38.90032475,-77.01060137,2,1,1,1,$110.00,,$10.00,1,1125,10
100%,100%,1,Washington,DC,20001,38.90414999,-77.02060693,5,2,1,3,$180.00,,,2,366,1
100%,100%,1,Washington,DC,20001,38.89673074,-77.01133551,2,0,1,2,$150.00,,$75.00,3,1125,3
92%,94%,30,Washington,DC,20001,38.90475151,-77.02632711,6,0,1,3,$150.00,,$129.00,3,100000,24
100%,100%,1,Washington,DC,20001,38.89869539,-77.01661719,5,2,2.5,2,$155.00,$99.00,$90.00,2,1125,23
100%,100%,1,Washington,DC,20001,38.90426843,-77.02655963,3,1,1,2,$85.00,$150.00,,3,30,338
50%,50%,1,Washington,DC,20005,38.90451104,-77.03022189,2,1,1,1,$130.00,,,1,1125,4
100%,69%,1,Washington,DC,20001,38.90301688,-77.01858684,3,1,1,1,$120.00,,$50.00,1,1125,3
100%,100%,1,Washington,DC,20001,38.90507876,-77.0184392,2,1,1,1,$90.00,,$10.00,2,1125,12
96%,47%,1,Washington,DC,20001,38.89993652,-77.01634541,2,1,1,2,$149.00,,,1,1125,47
87%,70%,190,Washington,DC,20001,38.89396683,-77.01938706,3,1,1,1,$569.00,,$100.00,3,1125,0
100%,100%,1,Washington,DC,20001,38.89841787,-77.01531137,4,1,1,1,$180.00,,$50.00,1,1125,6
N/A,N/A,1,Washington,DC,20037,38.90195179,-77.05285593,1,1,1,1,$55.00,,$15.00,1,14,1
90%,100%,6,Washington,DC,20001,38.90041682,-77.01729656,4,1,1,1,$229.00,,$50.00,2,720,29
90%,50%,1,Washington,DC,20001,38.90136429,-77.01743427,2,1,1,1,$75.00,,,1,1125,2
87%,70%,190,Washington,DC,20005,38.90530695,-77.03028303,3,1,1,1,$569.00,,$100.00,3,1125,0
100%,100%,1,Washington,DC,20005,38.9009612,-77.03333349,2,1,1,1,$105.00,,,1,1125,245
58%,51%,480,Washington,DC,20001,38.89267276,-77.01946911,2,1,1,1,$259.00,,,4,365,3
100%,50%,1,Washington,DC,20001,38.90399082,-77.0173688,2,1,1,1,$120.00,$100.00,$30.00,2,1125,1
100%,100%,1,Washington,DC,20001,38.90198328,-77.01483746,3,1,1,2,$119.00,$99.00,,5,1125,3
90%,100%,1,Washington,DC,20005,38.90529845,-77.02866297,2,1,1.5,1,$139.00,$500.00,$50.00,1,1125,0
100%,100%,2,Washington,DC,20001,38.90422466,-77.00910445,1,1,1,1,$90.00,$100.00,$120.00,1,1125,0
100%,100%,2,Washington,DC,20005,38.90343191,-77.02692746,1,1,1,1,$109.00,,,3,1125,34
100%,45%,1,Washington,DC,20001,38.89797687,-77.01487157,4,1,1,2,$150.00,$200.00,$45.00,2,90,25
92%,94%,30,Washington,DC,20001,38.90461776,-77.02703883,5,0,1,3,$295.00,,$125.00,3,999,45
83%,65%,5,Washington,DC,20001,38.90144491,-77.01347211,3,1,1,1,$210.00,$200.00,$50.00,1,365,57
92%,94%,30,Washington,DC,20001,38.90474484,-77.02741069,6,2,1.5,2,$329.00,,$159.00,3,999,21
100%,50%,1,Washington,DC,20001,38.89693158,-77.01094516,2,0,1,1,$125.00,,,2,7,0
89%,100%,1,Washington,DC,20001,38.90297398,-77.01750644,2,1,1,1,$150.00,,$25.00,1,1125,1
80%,100%,1,Washington,DC,20009,38.90377356,-77.01197061,3,1,1,2,$175.00,,,2,15,139
100%,100%,1,Washington,DC,20001,38.90066143,-77.01628928,3,1,1,2,$129.00,,$15.00,1,1125,7
58%,51%,480,Washington,DC,20001,38.90289763,-77.01747447,2,1,1,1,$239.00,,$150.00,5,730,0
82%,82%,2,Washington,DC,20001,38.90033876,-77.01623092,2,1,1,1,$250.00,"$1,500.00",$85.00,2,1125,17
100%,99%,4,Washington,DC,20005,38.90600705,-77.03382798,4,1,1,2,$168.00,,$35.00,1,1125,136
70%,86%,1,Washington,DC,20001,38.90020066,-77.01072029,2,1,1,1,$79.00,,$12.00,2,1125,2
100%,N/A,1,Washington,DC,20001,38.89923209,-77.01976879,1,1,1,2,$65.00,,,2,1125,0
90%,100%,1,Washington,DC,20001,38.90264956,-77.0127958,4,2,2,2,$290.00,$350.00,$80.00,3,365,32
100%,N/A,1,Washington,DC,20001,38.89878625,-77.02471294,6,1,1,3,$725.00,$200.00,,5,30,0
100%,N/A,1,Washington,DC,20001,38.89955357,-77.01075245,2,1,1,1,$109.00,,$10.00,1,1125,5
97%,96%,1,Washington,DC,20001,38.90556059,-77.01579704,4,1,1,2,$99.00,$500.00,$25.00,1,1125,3
87%,70%,190,Washington,DC,20001,38.8939692,-77.01937377,3,1,1,1,$569.00,,$100.00,3,1125,0
100%,100%,1,Washington,DC,20005,38.90499994,-77.0295595,4,1,1,2,$120.00,$140.00,$65.00,3,20,3
N/A,N/A,1,Washington,DC,20001,38.90437187,-77.01711001,2,1,1,2,$290.00,,,1,1125,1
50%,50%,1,Washington,DC,20001,38.90057678,-77.01565248,3,1,1,1,$145.00,$250.00,$20.00,1,31,5
83%,65%,5,Washington,DC,20001,38.90030689,-77.01646804,4,1,1,1,$210.00,$200.00,$50.00,1,90,87
92%,100%,1,Washington,DC,20001,38.89964153,-77.02120483,1,1,1,1,$90.00,,,1,1125,2
100%,100%,1,Washington,DC,20001,38.90084752,-77.01607553,2,1,1,1,$99.00,,$15.00,1,1125,2
100%,0%,1,Washington,DC,20001,38.90424191,-77.01261609,4,1,1,1,$399.00,$100.00,$30.00,1,1125,16
58%,51%,480,Washington,DC,20001,38.89353063,-77.01899577,2,1,1,1,$239.00,,,4,730,0
100%,42%,1,Washington,DC,20001,38.90099189,-77.01942861,2,1,1,1,$150.00,,,1,1125,4
100%,50%,1,Washington,DC,20004,38.89374422,-77.02300195,1,1,1,1,$199.00,,$71.00,7,1125,1
100%,100%,2,Washington,DC,20001,38.90226629,-77.02497973,2,1,1,1,$135.00,$300.00,$40.00,5,20,27
100%,100%,1,Washington,DC,20004,38.89341561,-77.01990326,4,1,1,1,$295.00,,,1,1125,20
92%,76%,206,Washington,DC,20001,38.89894448,-77.02705479,5,2,2,3,$429.00,,$100.00,3,1125,0
100%,96%,5,Washington,DC,20005,38.90535691,-77.0257556,8,4,2.5,4,$400.00,$500.00,$150.00,3,1125,26
100%,100%,6,Washington,DC,20001,38.9052115,-77.01834247,6,2,2,3,$295.00,,$100.00,1,1125,43
100%,100%,1,Washington,DC,20001,38.90123477,-77.01751802,4,1,1.5,2,$179.00,$200.00,$60.00,2,730,163
58%,51%,480,Washington,DC,20005,38.89909727,-77.03269055,4,2,2,2,$309.00,,,4,365,23
75%,50%,1,Washington,DC,20001,38.90343909,-77.01632066,3,1,2,2,$90.00,,$50.00,6,22,0
60%,65%,1,Washington,DC,20001,38.90395939,-77.00988865,2,1,1,1,$43.00,,,1,1125,10
N/A,N/A,1,Washington,DC,20001,38.90011601,-77.0167308,1,1,1,1,$120.00,,,2,3,0
100%,100%,1,Washington,DC,20005,38.90385714,-77.02939549,4,2,1,2,$269.00,$200.00,,2,1125,5
100%,98%,2,Washington,DC,20037,38.90243694,-77.0501961,2,0,1,1,$150.00,,$40.00,2,365,73
58%,51%,480,Washington,DC,20001,38.90008916,-77.01881709,2,1,1,1,$269.00,,$150.00,3,365,3
98%,52%,49,Washington,DC,20001,38.90562712,-77.02735635,4,1,1,1,$185.00,,,3,90,8
100%,N/A,2,Washington,DC,20001,38.90076227,-77.01638778,2,1,1,1,$120.00,"$1,000.00",$100.00,7,365,1
100%,98%,4,Washington,DC,20001,38.90131044,-77.01893287,8,2,2,3,$220.00,$200.00,$100.00,1,1125,0
100%,55%,1,"Washington, D.C.",DC,20001,38.89952784,-77.01052629,3,1,1,2,$99.00,"$1,000.00",,3,1125,4
97%,67%,1,Washington,DC,20001,38.89823863,-77.01946982,2,1,1,1,$99.00,,$25.00,1,1125,0
91%,56%,11,Washington,DC,20001,38.90079662,-77.01485968,4,1,1,2,$250.00,,$150.00,1,1125,6
58%,51%,480,Washington,DC,20001,38.89957917,-77.01815178,2,1,1,1,$249.00,,$150.00,3,365,4
92%,76%,206,Washington,DC,20001,38.89272228,-77.01879753,3,1,1,2,$259.00,,$100.00,3,1125,2
50%,100%,1,Washington,DC,20001,38.90471497,-77.02771771,5,2,2,2,$300.00,,$100.00,1,1125,2
58%,51%,480,Washington,DC,20001,38.90068234,-77.01781993,3,1,1,1,$289.00,,,5,730,1
94%,85%,1,Washington,DC,20001,38.90120549,-77.01606239,2,0,1,1,$200.00,$500.00,,1,1125,15
58%,51%,480,Washington,DC,20001,38.90062914,-77.01786207,2,1,1,1,$249.00,,,3,365,0
100%,33%,1,Washington,DC,20001,38.89987752,-77.01690344,1,1,1,1,$81.00,$173.00,$35.00,1,1125,1
100%,100%,1,Washington,DC,20001,38.89886785,-77.0194636,2,1,1,1,$200.00,,,2,1125,0
100%,63%,2,Washington,DC,20001,38.89964754,-77.01753677,8,2,1,4,$194.00,,$89.00,1,1125,8
89%,80%,1,Washington,DC,20001,38.900057,-77.01633626,2,1,1,1,$89.00,,,3,1125,3
100%,83%,1,Washington,DC,20001,38.90152204,-77.01721359,2,1,1,1,$159.00,$400.00,$80.00,4,1125,18
100%,100%,1,Washington,DC,20005,38.90511842,-77.02795468,2,0,1,1,$85.00,,,3,6,1
80%,100%,1,Washington,DC,20001,38.90517391,-77.02509911,4,1,1,1,$100.00,$200.00,$40.00,1,1125,18
100%,N/A,1,Washington,DC,20001,38.90507047,-77.02498764,2,1,1,1,$189.00,$500.00,$100.00,3,30,0
